"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","external_gene_name"
"ENSG00000107159",21.7242078629289,3.21263146610556,0.921224016189098,3.48735096963225,0.000487830717717483,0.601936573537142,"CA9"
"ENSG00000137261",29.6037941085157,3.03167895640537,0.86085940884107,3.52168882081078,0.000428807167863364,0.57049010091563,"KIAA0319"
"ENSG00000137975",1205.10444981142,2.88282059992098,0.911535737035547,3.16259745262029,0.00156368388960547,0.91859320860278,"CLCA2"
"ENSG00000116329",43.3207286024871,2.72233534241987,0.72677550796364,3.74577199230008,0.000179839877663656,0.493034906507952,"OPRD1"
"ENSG00000282122",33.8300020250805,2.63368178596948,1.0374480880624,2.53861548955986,0.0111292063993074,0.998034976128235,"IGHV7-4-1"
"ENSG00000086548",1125.7406283297,2.46459639812027,0.831519376627913,2.96396748818413,0.0030370037166263,0.998034976128235,"CEACAM6"
"ENSG00000198576",255.428193601294,2.3523971085784,0.75831009698108,3.10215717546629,0.00192115925428939,0.944583888136155,"ARC"
"ENSG00000134757",1499.97407047678,2.27779743949107,1.01165669934291,2.25155177736731,0.0243506113691865,0.998034976128235,"DSG3"
"ENSG00000164761",394.831208233149,2.23500474603182,0.693689045879244,3.22191154568251,0.00127338440682342,0.870798163820769,"TNFRSF11B"
"ENSG00000026559",69.4916222235027,2.2198875259321,0.83913466982021,2.6454484670592,0.00815827124876743,0.998034976128235,"KCNG1"
"ENSG00000204539",186.344529388411,2.21943678138356,0.66192837479926,3.35298631374828,0.000799446596263018,0.685544155269972,"CDSN"
"ENSG00000170786",619.681062418699,2.2163841682789,0.855904771881664,2.58952192006862,0.00961093037560977,0.998034976128235,"SDR16C5"
"ENSG00000203805",155.484103093101,2.15589337970611,0.950105860419932,2.26910860096499,0.0232617224654396,0.998034976128235,"PLPP4"
"ENSG00000154165",20.4484486142831,2.15289020723064,0.683471479734104,3.14993422705537,0.00163307223694527,0.923961089891783,"GPR15"
"ENSG00000165474",924.444293072892,2.07744392263764,0.812607365817379,2.55651623407079,0.0105726137627269,0.998034976128235,"GJB2"
"ENSG00000165953",16.2722455125058,2.07587547197156,0.868752465845778,2.38949016386455,0.0168717756365522,0.998034976128235,"SERPINA12"
"ENSG00000211448",1121.77615943436,2.051895274148,0.65814253899223,3.11770650365486,0.00182264209931274,0.924796157665494,"DIO2"
"ENSG00000169862",449.333126465205,2.02461996708909,0.708836792756507,2.85625688138421,0.00428668157186248,0.998034976128235,"CTNND2"
"ENSG00000088538",104.964220154554,1.99592368083879,0.633709988538181,3.14958532599891,0.00163502355241279,0.923961089891783,"DOCK3"
"ENSG00000166928",320.033964099415,1.9622416241559,0.685323851051121,2.86323264708545,0.00419342537396711,0.998034976128235,"MS4A14"
"ENSG00000095739",2267.15337414903,1.92051146850489,0.536636758291342,3.57879224416126,0.000345185728716198,0.557647544741017,"BAMBI"
"ENSG00000004948",63.3634911222804,1.91772469702176,0.780646036819243,2.4565867327471,0.0140263939162757,0.998034976128235,"CALCR"
"ENSG00000172061",3106.13631350669,1.91585392365499,0.793838819665395,2.4134041775162,0.0158042829605731,0.998034976128235,"LRRC15"
"ENSG00000078295",458.551772818887,1.88138897407581,0.644651661448155,2.91845827225425,0.0035176695228902,0.998034976128235,"ADCY2"
"ENSG00000181634",228.90788222144,1.87344123538458,0.579096066830184,3.2351130368391,0.00121594581920983,0.849694306453359,"TNFSF15"
"ENSG00000168539",295.366142319996,1.86334517023166,0.886811814749147,2.10117314546463,0.0356257698526124,0.998034976128235,"CHRM1"
"ENSG00000204936",57.8684391441726,1.82264189898175,0.954037658525899,1.91045068577056,0.0560752100954521,0.998034976128235,"CD177"
"ENSG00000129204",94.8722876185144,1.79554647782448,0.685444556188781,2.61953568908346,0.00880495589042626,0.998034976128235,"USP6"
